rank,score,sharpe,profit_factor,win_rate,trades,total_return,max_drawdown,avg_hold,use_slope,use_trend_sep,use_vcp,use_breakout,use_orb,use_rsi_rise,use_rsi_delta,use_rsi_lvl,use_adx,use_52w_high,use_ma20
205,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,1,1,1,0,1,0
206,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,1,1,1,0,1,1
207,22.556,3.5025,6.4399,0.6776,1340,4524.47,-6.59,3.25,1,0,0,0,1,0,1,1,1,1,0
208,22.556,3.5025,6.4399,0.6776,1340,4524.47,-6.59,3.25,1,0,0,0,1,0,1,1,1,1,1
209,22.556,3.5025,6.4399,0.6776,1340,4524.47,-6.59,3.25,1,0,0,0,1,1,1,1,1,1,0
210,22.556,3.5025,6.4399,0.6776,1340,4524.47,-6.59,3.25,1,0,0,0,1,1,1,1,1,1,1
211,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,0,0,1,0,1,0
212,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,0,0,1,0,1,1
213,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,0,1,1,0,1,0
214,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,0,1,1,0,1,1
215,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,1,0,1,0,1,0
216,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,1,0,1,0,1,1
217,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,1,1,1,0,1,0
218,22.4112,3.8169,5.8716,0.7335,983,1589.47,-5.22,3.01,1,0,1,0,1,1,1,1,0,1,1
219,22.4106,3.7192,6.0256,0.6808,1441,7016.79,-7.39,3.34,1,0,0,0,1,0,0,1,0,1,0
220,22.4106,3.7192,6.0256,0.6808,1441,7016.79,-7.39,3.34,1,0,0,0,1,0,0,1,0,1,1
221,22.4106,3.7192,6.0256,0.6808,1441,7016.79,-7.39,3.34,1,0,0,0,1,1,0,1,0,1,0
222,22.4106,3.7192,6.0256,0.6808,1441,7016.79,-7.39,3.34,1,0,0,0,1,1,0,1,0,1,1
